cost,costg
0.196901361962451,0.2157739922918115
0.18865675223309403,0.21314065657298467
0.1910312768049636,0.20997912737405494
0.19120096406520942,0.20608582198067238
0.18993045585905824,0.19405225774424067
0.17637792914662934,0.20509033061614357
0.17518289342517884,0.19644035931773546
0.1621966247207579,0.19786454776885556
0.1611534180522049,0.18950906495734515
0.16764121360885778,0.1953943172943865
0.15576707904403958,0.18971327101427418
0.1555881566380872,0.19755514075708375
0.14858790634217076,0.1857042597752185
0.15563207427506448,0.1848711407574957
0.1580190464466065,0.18239167056066183
0.1547113744936575,0.18469614204178716
0.15969858763022282,0.1782906730135389
0.1511671839538297,0.17429722371068307
0.15151060106634767,0.1758242180374445
0.14726556655740908,0.17719496616000946
0.15266288293835953,0.17245454175862823
0.14934656336858687,0.16865122871013097
0.14629296139545855,0.17368199749817173
0.13962527787056517,0.1731136187431782
0.1468586716288668,0.1645256614835317
0.13988915900140517,0.16797313429080538
0.13726887455147826,0.1703815109573071
0.14544121991595052,0.16989494811292394
0.13907454931969856,0.1722745500531399
0.14066808413641285,0.1677616744354735
0.13659481813216595,0.15752432832170898
0.1364266774807875,0.16673879539958344
0.1337900442611872,0.16991433467902878
0.12328005034623607,0.16622540124042287
0.13721109972449352,0.1650789007682421
0.12566900420162477,0.1665854014534098
0.13624519365571802,0.16287034513015913
0.13396248550215675,0.15727867666219064
0.13548903760991005,0.1628356472329347
0.13458936065154392,0.15995135686802084
0.130875100434742,0.16536647855090733
0.12745250421395826,0.15715153114120953
0.1300052860124628,0.1621889588988995
0.1219492483568225,0.1575177176646014
0.12372261799580642,0.16317256319125908
0.12183301850906943,0.15898284782715522
0.12999982151728942,0.15878114792895157
0.13981738348448453,0.16012813273261164
0.13177107393853763,0.15963876892259832
0.1345405641259478,0.16350289514511962
0.11922082105919982,0.15794312180875789
0.1304473304649835,0.16267874117609304
0.12550234170280505,0.15484123885384707
0.12597803603638225,0.15813888911141663
0.12415634152602578,0.1620776420643209
0.12143743160471679,0.15559828404694362
0.12745348706672732,0.16438257398231762
0.12757739484307457,0.15728101866900132
0.12590826762263227,0.15520155188316037
0.12420229882370468,0.15655742074950504
0.11806564785071667,0.16421195972808714
0.12969115856090163,0.1531478489591893
0.1278283883527513,0.15925416172078335
0.12881620867465196,0.15865373645144498
