x,y,labels
0.27909525439838334,0.2621991463437884,1
0.7262118671134975,0.5630475456235976,1
0.4166973505591798,0.190484722779799,1
0.35996384044842344,0.4037929611525729,0
0.9323885147555304,0.530341530336179,2
0.35266306251110247,0.8603926188077617,1
0.42096973747630073,0.277403269829435,1
0.6946680191662221,0.16419657240434804,1
0.7275561271492428,0.11730380169261245,2
0.25828978598561037,0.9194046173736271,2
0.13879198791329062,0.8185862215221148,2
0.5870379095583665,0.6652733260939416,0
0.08002879401024265,0.12079255668446853,2
0.6994867616132894,0.04441892888429766,2
0.5311590553003449,0.5037254230155888,0
0.08805280232220913,0.3599050009666863,2
0.8565679496956855,0.8274978307567189,2
0.7877259992743361,0.4565244994345009,1
0.3417544374410669,0.6429501759327648,1
0.14060436661947628,0.993877411429147,2
0.3607582441222108,0.08326147506029147,2
0.005589351809242471,0.30892909178698646,2
0.13502400463540531,0.4402749752377483,1
0.946167382413437,0.7357353080837228,2
0.8623181928992573,0.01296997154641577,2
0.6799864302948354,0.4799234429580794,0
0.22908165832528338,0.8749083302721617,2
0.9354292870358111,0.8767553584845138,2
0.5029649594113313,0.2702607802720166,1
0.5442942822487018,0.5400509916296433,0
0.08478472493341693,0.6258448531253751,2
0.7893241239016335,0.674606210804749,1
0.682229157328916,0.8906464739314524,2
0.29376925832146894,0.7489788760049321,1
0.29927905002409694,0.6008627002123944,1
0.7345769990714828,0.749606916206133,1
0.2011716245135753,0.2919767271936857,1
0.7989807408391479,0.6296500259013837,1
0.29189093318699455,0.7206123424208187,1
0.3696294376430689,0.14720985727835212,1
0.4864047405662111,0.11294975311147559,1
0.6059139951404707,0.14802844976552787,1
0.07764434401129605,0.7596754127285518,2
0.49881371959683674,0.1446863483640478,1
0.42401822537116185,0.5861642587386093,0
0.9903589732049303,0.2165713536951679,2
0.873611028622876,0.8778007233823593,2
0.7747142482717785,0.8857542561170388,2
0.9085013252664956,0.9092492394349861,2
0.12032666366310629,0.6820264588815232,2
0.5599598808241978,0.8347632032057983,1
0.3352867357947792,0.40512222660144426,0
0.07392340701888411,0.5341326592687823,2
0.8455855022029745,0.25044903718917655,2
0.4493780486052208,0.08337374906858985,2
0.10015252610421144,0.7619934652111747,2
0.11039880920719825,0.10764758681583986,2
0.09184031913961999,0.3736610781085341,2
0.02541376657358707,0.8850618406642121,2
0.7891976786196966,0.4646155594007241,1
0.41718465178086395,0.18678225248135194,1
0.21585043659645597,0.6570031036764403,1
0.61760753012665,0.2814549415338484,1
0.1206614045058032,0.8145319795903377,2
0.1274150607182053,0.9734906058654905,2
0.21020044786437653,0.9064173325262401,2
0.2586320128451257,0.7250656762440564,1
0.5568672222247574,0.35993072543756954,0
0.3320347197146749,0.24116902903698223,1
0.2784891487129175,0.04447999440660699,2
0.17901197171210548,0.18834264409046286,2
0.2918555847919587,0.13700513093221223,2
0.224117597356444,0.0043504355553769525,2
0.8201962989359199,0.5971392531767797,1
0.05465159147985443,0.437145898969032,2
0.44286910724427586,0.4216712174383854,0
0.22730725770944626,0.48711987407020874,1
0.13971097699424007,0.8161372002823504,2
0.5660242546176654,0.08281240856350947,2
0.513013121830195,0.8541903802819227,1
0.5713701025726657,0.40119842625613267,0
